connexion;geo_point_2d;geo_shape;id_gares;nom_gares;id_ref_zdc;nom_zdc;id_ref_zda;idrefliga;res_com;ligne;mode;tertrain;terrer;termetro;tertram;terval;exploitant;color;style;idf;principal;x;y
932;48.89218707551516,2.2370180563950135;"{""coordinates"": [2.237018056395013, 48.89218707551516], ""type"": ""Point""}";933;La Défense;71517;La Défense (Grande Arche);470549;A01855;TRAIN U;U;TRAIN;TRAIN U;0;0;0;0;SNCF;#C90062;solid;1;1;644056.2663;6866067.7406
925;48.75518504105718,1.9430499444004297;"{""coordinates"": [1.94304994440043, 48.75518504105718], ""type"": ""Point""}";635;La Verrière;63426;La Verrière;43147;A01855;TRAIN U;U;TRAIN;TRAIN U;0;0;0;0;SNCF;#C90071;solid;1;1;622299.0;6851084.0
931;48.8833838128909,2.2336919201504086;"{""coordinates"": [2.233691920150409, 48.8833838128909], ""type"": ""Point""}";932;Puteaux;71422;Puteaux;43184;A01855;TRAIN U;U;TRAIN;0;0;0;0;0;SNCF;#C90063;solid;1;0;643802.8935;6865091.2418
175;48.82723877447488,2.200721257947834;"{""coordinates"": [2.200721257947834, 48.82723877447488], ""type"": ""Point""}";1198;Sèvres-Ville-d'Avray;70686;Sèvres - Ville-d'Avray;47767;A01855;TRAIN U;U;TRAIN;0;0;0;0;0;SNCF;#C90068;solid;1;0;641321.8824;6858872.4901
1198;48.84610294770648,2.2176210808904337;"{""coordinates"": [2.217621080890434, 48.84610294770648], ""type"": ""Point""}";929;Saint-Cloud;73749;Saint-Cloud;43196;A01855;TRAIN U;U;TRAIN;0;0;0;0;0;SNCF;#C90067;solid;1;1;642583.305;6860957.5259
926;48.79870763435358,2.0718470059294005;"{""coordinates"": [2.071847005929401, 48.79870763435358], ""type"": ""Point""}";927;Saint-Cyr;73731;Saint-Cyr;46990;A01855;TRAIN U;U;TRAIN;0;0;0;0;0;SNCF;#C90064;solid;1;0;631823.8462;6855803.8011
925;48.78739023735681,2.044621988534177;"{""coordinates"": [2.044621988534177, 48.78739023735681], ""type"": ""Point""}";926;Saint-Quentin-en-Yvelines;63812;Saint-Quentin en Yvelines - Montigny-le-Bretonneux;461504;A01855;TRAIN U;U;TRAIN;0;0;0;0;0;SNCF;#C90069;solid;1;1;629808.9428;6854569.3771
929;48.871714190222136,2.2210295504311297;"{""coordinates"": [2.22102955043113, 48.871714190222136], ""type"": ""Point""}";931;Suresnes-Mont-Valérien;70829;Suresnes Mont Valérien;43205;A01855;TRAIN U;U;TRAIN;0;0;0;0;0;SNCF;#C90070;solid;1;0;642861.5291;6863802.7627
635;48.77480280884466,2.0065668690576657;"{""coordinates"": [2.006566869057666, 48.77480280884466], ""type"": ""Point""}";925;Trappes;463850;Trappes;43209;A01855;TRAIN U;U;TRAIN;0;0;0;0;0;SNCF;#C90066;solid;1;0;626995.5928;6853204.424
927;48.795138178428715,2.1351562241000215;"{""coordinates"": [2.135156224100021, 48.795138178428715], ""type"": ""Point""}";928;Versailles-Chantiers;63880;Versailles Chantiers;43219;A01855;TRAIN U;U;TRAIN;0;0;0;0;0;SNCF;#C90065;solid;1;1;636469.5949;6855354.1433
928;48.81257171624298,2.188259860000293;"{""coordinates"": [2.188259860000293, 48.81257171624298], ""type"": ""Point""}";175;Chaville Rive Droite;69503;Chaville Rive Droite;43241;A02176;TRAIN L;L;TRAIN;0;0;0;0;0;SNCF;#C90066;solid;1;0;640390.3104;6857251.0585
