id;connexion;geo_point_2d;geo_shape;id_gares;nom_gares;nom_so_gar;nom_su_gar;id_ref_zdc;nom_zdc;id_ref_zda;nom_zda;idrefliga;idrefligc;res_com;ligne;mode;tertrain;terrer;termetro;tertram;terval;exploitant;color;idf;principal;x;y;picto;nom_iv
16;3;48.955402243597064,2.093521901580611;"{""coordinates"": [2.093521901580611, 48.955402243597064], ""type"": ""Point""}";4;Achères-Grand-Cormier;;;65190;Achères Grand Cormier;47915;Achères Grand Cormier;A01856;C01742;RER A;A;RER;0;0;0;0;0;SNCF;red;1;0;633615.8945;6873208.1444;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Achères-Grand-Cormier
29;41;48.97066504738864,2.0777317645655975;"{""coordinates"": [2.077731764565597, 48.97066504738864], ""type"": ""Point""}";6;Achères-Ville;;;73604;Achères Ville;46647;Achères Ville;A01856;C01742;RER A;A;RER;0;0;0;0;0;SNCF;red;1;0;632479.4115;6874918.7325;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Achères-Ville
1;10;48.87215749394265,2.329927170608275;"{""coordinates"": [2.329927170608275, 48.87215749394265], ""type"": ""Point""}";32;Auber;;;478926;Auber;45873;Auber;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;650849.5187;6863778.7626;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Auber
28;34;48.75218571985377,2.504559838342837;"{""coordinates"": [2.504559838342837, 48.75218571985377], ""type"": ""Point""}";87;Boissy-Saint-Léger;;;72881;Boissy-Saint-Léger;43094;Boissy-Saint-Léger;A01856;C01742;RER A;A;RER;0;RER A;0;0;0;RATP;red;1;1;663575.0958;6850344.7528;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Boissy-Saint-Léger
15;35;48.84519309572949,2.5256159084395455;"{""coordinates"": [2.525615908439546, 48.84519309572949], ""type"": ""Point""}";116;Bry-sur-Marne;;;73166;Bry-sur-Marne;43101;Bry-sur-Marne;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;665185.2531;6860676.4833;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Bry-sur-Marne
7;40;48.83653643201063,2.7089817422622766;"{""coordinates"": [2.708981742262277, 48.83653643201063], ""type"": ""Point""}";119;Bussy-Saint-Georges;;;68105;Bussy-Saint-Georges;58874;Bussy-Saint-Georges;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;678638.7274;6859648.704;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Bussy-Saint-Georges
45;42;49.04787620243536,2.010999760003632;"{""coordinates"": [2.010999760003632, 49.04787620243536], ""type"": ""Point""}";128;Cergy Le Haut;;;66834;Cergy le Haut;43104;Cergy le Haut;A01856;C01742;RER A;A;RER;0;RER A;0;0;0;SNCF;red;1;1;627701.6572;6883563.8941;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Cergy Le Haut
30;42;49.03646397979169,2.079534939997373;"{""coordinates"": [2.079534939997373, 49.03646397979169], ""type"": ""Point""}";129;Cergy-Préfecture;;;66696;Cergy Préfecture;44559;Cergy Préfecture;A01856;C01742;RER A;A;RER;0;0;0;0;0;SNCF;red;1;0;632696.7168;6882234.2021;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Cergy-Préfecture
42;45;49.04964700432274,2.0342944618526615;"{""coordinates"": [2.034294461852661, 49.04964700432274], ""type"": ""Point""}";131;Cergy-Saint-Christophe;;;66858;Cergy Saint-Christophe;47897;Cergy Saint-Christophe;A01856;C01742;RER A;A;RER;0;0;0;0;0;SNCF;red;1;0;629406.8796;6883739.7414;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Cergy-Saint-Christophe
17;1;48.861822271863645,2.3470126872387564;"{""coordinates"": [2.347012687238756, 48.861822271863645], ""type"": ""Point""}";163;Châtelet-Les Halles;;;474151;Châtelet les Halles;45102;Châtelet les Halles;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;1;652093.2251;6862619.0666;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Châtelet-Les Halles
2;23;48.885211217274076,2.1559034718965218;"{""coordinates"": [2.155903471896522, 48.885211217274076], ""type"": ""Point""}";172;Châtou-Croissy;;;64483;Châtou - Croissy;53783;Châtou - Croissy;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;638100.6669;6865352.6049;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Châtou-Croissy
31;37;48.806985070711534,2.5103072371156405;"{""coordinates"": [2.510307237115641, 48.806985070711534], ""type"": ""Point""}";142;Champigny;;;73042;Champigny;58270;Champigny;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;664035.4268;6856434.9977;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Champigny
10;11;48.87420418539023,2.2947732143825266;"{""coordinates"": [2.294773214382527, 48.87420418539023], ""type"": ""Point""}";151;Charles De Gaulle-Étoile;;;71347;Charles-de-Gaulle Étoile;58759;Charles-de-Gaulle Étoile;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;648273.0419;6864028.7945;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Charles De Gaulle-Étoile
41;46;48.99033252744756,2.0739471888196923;"{""coordinates"": [2.073947188819692, 48.99033252744756], ""type"": ""Point""}";202;Conflans-Fin-d'Oise;;;73605;Conflans Fin d'Oise;43114;Conflans Fin d'Oise;A01856;C01742;RER A;A;RER;0;0;0;0;0;SNCF;red;1;1;632228.0;6877109.0;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Conflans-Fin-d'Oise
36;12;48.84379435099823,2.463501419487551;"{""coordinates"": [2.463501419487551, 48.84379435099823], ""type"": ""Point""}";289;Fontenay-sous-Bois;;;71630;Fontenay-sous-Bois;47238;Fontenay-sous-Bois;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;660625.7196;6860550.1345;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Fontenay-sous-Bois
8;17;48.844139348918475,2.373259976710645;"{""coordinates"": [2.373259976710645, 48.844139348918475], ""type"": ""Point""}";306;Gare de Lyon;;;73626;Gare de Lyon;470195;Gare de Lyon;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;1;654003.2244;6860637.2778;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Gare de Lyon
43;6;48.92037937299015,2.1853533763028636;"{""coordinates"": [2.185353376302864, 48.92037937299015], ""type"": ""Point""}";357;Houilles-Carrières-sur-Seine;;;64741;Houilles - Carrières-sur-Seine;43082;Carrières-sur-Seine;A01856;C01742;RER A;A;RER;0;0;0;0;0;SNCF;red;1;0;640300.5563;6869240.4011;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Houilles-Carrières-sur-Seine
18;33;48.8210388141285,2.4638567953623154;"{""coordinates"": [2.463856795362315, 48.8210388141285], ""type"": ""Point""}";378;Joinville-le-Pont;;;70640;Joinville-le-Pont;43135;Joinville-le-Pont;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;660634.6208;6858019.7683;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Joinville-le-Pont
11;39;48.891688138011865,2.2385952173384704;"{""coordinates"": [2.23859521733847, 48.891688138011865], ""type"": ""Point""}";393;La Défense;Grande Arche;;71517;La Défense (Grande Arche);470549;La Défense;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;1;644171.3691;6866011.1458;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;La Défense
4;31;48.79538383468007,2.5134232981847133;"{""coordinates"": [2.513423298184713, 48.79538383468007], ""type"": ""Point""}";405;La Varenne-Chennevières;;;72998;La Varenne - Chennevières;43146;La Varenne - Chennevières;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;664256.3285;6855143.6716;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;La Varenne-Chennevières
37;24;48.80537766122676,2.486349748779074;"{""coordinates"": [2.486349748779074, 48.80537766122676], ""type"": ""Point""}";431;Le Parc de Saint-Maur;;;70359;Le Parc de Saint-Maur;43234;Le Parc de Saint-Maur;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;662274.7753;6856267.4523;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Le Parc de Saint-Maur
19;2;48.8900862346195,2.134600875228716;"{""coordinates"": [2.134600875228716, 48.8900862346195], ""type"": ""Point""}";438;Le Vésinet-Centre;;;64514;Le Vésinet Centre;53784;Le Vésinet Centre;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;636544.5065;6865911.5752;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Le Vésinet-Centre
38;19;48.897973445402116,2.122117447472966;"{""coordinates"": [2.122117447472966, 48.897973445402116], ""type"": ""Point""}";439;Le Vésinet-Le Pecq;;;64582;Le Vésinet - Le Pecq;43237;Le Vésinet - Le Pecq;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;635638.9457;6866798.6735;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Le Vésinet-Le Pecq
20;9;48.83921929901705,2.6332109134176322;"{""coordinates"": [2.633210913417632, 48.83921929901705], ""type"": ""Point""}";473;Lognes;;;68123;Lognes;43152;Lognes;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;673078.4315;6859970.1835;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Lognes
3;29;48.94550297097257,2.145017437654258;"{""coordinates"": [2.145017437654258, 48.94550297097257], ""type"": ""Point""}";501;Maisons-Laffitte;;;65048;Maisons-Laffitte;473109;Maisons-Laffitte;A01856;C01742;RER A;A;RER;0;0;0;0;0;SNCF;red;1;0;637374.9956;6872065.3017;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Maisons-Laffitte
32;25;48.869950134005364,2.7822267234490363;"{""coordinates"": [2.782226723449036, 48.869950134005364], ""type"": ""Point""}";182;Marne-la-Vallée-Chessy;;;68385;Marne-la-Vallée Chessy;43239;Marne-la-Vallée Chessy;A01856;C01742;RER A;A;RER;0;RER A;0;0;0;RATP;red;1;1;684025.274;6863346.7947;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Marne-la-Vallée-Chessy
39;43;48.89574531027312,2.2232129684066613;"{""coordinates"": [2.223212968406661, 48.89574531027312], ""type"": ""Point""}";577;Nanterre-Préfecture;;;70945;Nanterre Préfecture / Esplanade Charles De Gaulle;43169;Nanterre Préfecture;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;643047.9676;6866473.262;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Nanterre-Préfecture
13;39;48.90101049482036,2.2135566086399576;"{""coordinates"": [2.213556608639958, 48.90101049482036], ""type"": ""Point""}";578;Nanterre-Université;;;70956;Nanterre Université;43170;Nanterre Université;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;1;642345.8425;6867065.7254;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Nanterre-Université
21;13;48.89512589040026,2.1953639869129002;"{""coordinates"": [2.1953639869129, 48.89512589040026], ""type"": ""Point""}";580;Nanterre-Ville;;;70940;Nanterre Ville;43171;Nanterre Ville;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;641005.5193;6866424.833;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Nanterre-Ville
44;8;48.848237109475654,2.3958235888261252;"{""coordinates"": [2.395823588826125, 48.848237109475654], ""type"": ""Point""}";582;Nation;;;71673;Nation;473875;Nation;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;655662.633;6861080.0037;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Nation
