connexion;geo_point_2d;geo_shape;id_gares;nom_gares;nom_so_gar;nom_su_gar;id_ref_zdc;nom_zdc;id_ref_zda;nom_zda;idrefliga;idrefligc;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;color;idf;principal;x;y;picto;nom_iv
392;48.754946524596164,2.3009868557349504;"{""coordinates"": [2.30098685573495, 48.754946524596164], ""type"": ""Point""}";20;Antony;Orly;;69759;Antony;43066;Antony;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;blue;1;1;648611.4025;6850764.9;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Antony
403;48.798892499145914,2.3281369230647506;"{""coordinates"": [2.328136923064751, 48.798892499145914], ""type"": ""Point""}";22;Arcueil-Cachan;;;70263;Arcueil - Cachan;43067;Arcueil - Cachan;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;blue;1;0;650648.8903;6855633.6247;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Arcueil-Cachan
427;48.92435387872672,2.386388291064693;"{""coordinates"": [2.386388291064693, 48.92435387872672], ""type"": ""Point""}";34;La Courneuve-Aubervilliers;;;72598;La Courneuve - Aubervilliers;43140;La Courneuve - Aubervilliers;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;blue;1;0;655036.0121;6869549.1208;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;La Courneuve-Aubervilliers
796;48.932196005027805,2.495513142584313;"{""coordinates"": [2.495513142584313, 48.932196005027805], ""type"": ""Point""}";37;Aulnay-sous-Bois;;;72646;Aulnay-sous-Bois;43071;Aulnay-sous-Bois;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;blue;1;1;663037.8693;6870364.5512;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Aulnay-sous-Bois
22;48.79333629530144,2.3222016336701206;"{""coordinates"": [2.322201633670121, 48.79333629530144], ""type"": ""Point""}";45;Bagneux;;;70210;Bagneux;44493;Bagneux;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;blue;1;0;650207.6266;6855019.5845;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Bagneux
37;48.93230541513496,2.475674370833511;"{""coordinates"": [2.475674370833511, 48.93230541513496], ""type"": ""Point""}";77;Le Blanc-Mesnil;;;72648;Le Blanc-Mesnil;46163;Le Blanc-Mesnil;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;blue;1;0;661584.448;6870386.1867;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Le Blanc-Mesnil
45;48.78031379546215,2.312307716888593;"{""coordinates"": [2.312307716888593, 48.78031379546215], ""type"": ""Point""}";102;Bourg-la-Reine;;;70033;Bourg-la-Reine;43097;Bourg-la-Reine;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;blue;1;0;649468.2085;6853577.9767;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Bourg-la-Reine
612;48.69625274687923,2.1643782427741716;"{""coordinates"": [2.164378242774172, 48.69625274687923], ""type"": ""Point""}";118;Bures-sur-Yvette;;;62851;Bures-sur-Yvette;43103;Bures-sur-Yvette;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;blue;1;0;638499.7812;6844337.1535;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Bures-sur-Yvette
309;48.861822271863645,2.3470126872387564;"{""coordinates"": [2.347012687238756, 48.861822271863645], ""type"": ""Point""}";164;Châtelet-Les Halles;;;474151;Châtelet les Halles;45102;Châtelet les Halles;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;blue;1;1;652093.2251;6862619.0666;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Châtelet-Les Halles
235;48.82108964968064,2.338978472013181;"{""coordinates"": [2.338978472013181, 48.82108964968064], ""type"": ""Point""}";189;Cité Universitaire;;;70623;Cité universitaire;473843;Cité Universitaire;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;blue;1;0;651465.8891;6858094.9267;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Cité Universitaire
