connexion;geo_point_2d;geo_shape;id_gares;nom_gares;nom_so_gar;nom_su_gar;id_ref_zdc;nom_zdc;id_ref_zda;nom_zda;idrefliga;idrefligc;res_com;ligne;mode;tertrain;terrer;termetro;tertram;terval;exploitant;color;idf;principal;x;y;picto;nom_iv
26;48.58272468713799,2.2234488335831086;"{""coordinates"": [2.223448833583109, 48.58272468713799], ""type"": ""Point""}";254;Égly;;;60052;Égly;415484;Égly;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;642723.0;6831672.0;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Égly
788;48.66948372427284,2.3326229292104714;"{""coordinates"": [2.332622929210471, 48.66948372427284], ""type"": ""Point""}";257;Épinay-sur-Orge;;;60915;Épinay-sur-Orge;43076;Épinay-sur-Orge;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;650856.7941;6841243.2826;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Épinay-sur-Orge
821;48.953495202445616,2.3023468035919636;"{""coordinates"": [2.302346803591964, 48.953495202445616], ""type"": ""Point""}";258;Épinay-sur-Seine;;;72383;Épinay-sur-Seine;43077;Épinay-sur-Seine;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;648906.4362;6872840.7413;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Épinay-sur-Seine
274;48.43692393670402,2.1595305875651536;"{""coordinates"": [2.159530587565154, 48.43692393670402], ""type"": ""Point""}";271;Étampes;;;478855;Étampe;43080;Étampes;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;1;637836.1692;6815513.6232;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Étampes
137;48.49364457756063,2.1945817005254256;"{""coordinates"": [2.194581700525426, 48.49364457756063], ""type"": ""Point""}";274;Étréchy;;;59678;Étréchy;43081;Étréchy;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;640492.8806;6821791.2596;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Étréchy
899;48.725535303926115,2.419565024387933;"{""coordinates"": [2.419565024387933, 48.725535303926115], ""type"": ""Point""}";3;Ablon;;;69554;Ablon;46387;Ablon;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;657304.576;6847424.3178;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Ablon
402;48.58600788986434,2.2410700809029738;"{""coordinates"": [2.241070080902974, 48.58600788986434], ""type"": ""Point""}";26;Arpajon;;;60072;Arpajon;43068;Arpajon;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;644026.1786;6832024.3368;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Arpajon
3;48.712628986541134,2.403633104908492;"{""coordinates"": [2.403633104908492, 48.712628986541134], ""type"": ""Point""}";31;Athis-Mons;;;63134;Athis-Mons;46395;Athis-Mons;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;656121.8463;6845998.1467;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Athis-Mons
97;48.85364805623443,2.2794870649625656;"{""coordinates"": [2.279487064962566, 48.85364805623443], ""type"": ""Point""}";40;Avenue du Président Kennedy;Maison de Radio France;;71212;Avenue du Président Kennedy Maison de Radio France;45419;Avenue du Président Kennedy Maison de Radio France;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;647131.0079;6861753.2577;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Avenue du Président Kennedy
590;48.86983048806187,2.2748081536422338;"{""coordinates"": [2.274808153642234, 48.86983048806187], ""type"": ""Point""}";41;Avenue Foch;;;71321;Avenue Foch;45437;Avenue Foch;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;646804.2192;6863555.7388;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Avenue Foch
